,Player,MPG,PER,OWS,DWS,WS,OBPM,BPM,VORP,Years_Played,Fantasy_PPG
8579,Kyle Singler,28.5,11.8,3.6,0.7,4.4,0.7,-0.1,1.1,2.0,17.99390243902439
8580,Chris Singleton,10.0,8.8,-0.2,0.3,0.2,-4.8,-5.6,-0.2,3.0,6.17
8581,Peyton Siva,9.33,5.7,-0.2,0.1,-0.2,-4.4,-7.3,-0.3,1.0,5.270833333333333
8582,Donald Sloan,8.17,8.5,-0.3,0.6,0.3,-4.1,-4.8,-0.3,3.0,4.864583333333333
8583,Ish Smith,14.37,11.7,0.0,1.0,1.0,-2.7,-2.3,-0.1,4.0,10.217857142857143
8584,J.R. Smith,32.72,14.0,2.5,1.2,3.7,1.8,0.1,1.3,10.0,26.283783783783782
8585,Josh Smith,35.45,14.1,-1.4,2.5,1.1,-1.7,-0.6,0.9,10.0,31.912337662337663
8586,Tony Snell,15.99,8.0,-0.1,1.7,1.6,-2.9,-3.0,-0.3,1.0,8.844155844155845
8587,James Southerland,7.5,11.8,-0.1,0.0,0.0,-8.1,-13.3,-0.1,1.0,7.6875
8588,James Southerland,9.0,17.7,0.0,0.0,0.1,-5.3,-9.6,-0.1,1.0,10.25
8589,Marreese Speights,12.43,15.2,0.6,1.5,2.1,-3.9,-5.2,-0.8,6.0,11.430379746835444
8590,Tiago Splitter,21.54,16.5,2.3,2.1,4.3,-0.1,1.9,1.3,3.0,17.71186440677966
8591,Lance Stephenson,35.28,14.7,2.6,4.8,7.4,0.7,2.3,3.0,4.0,27.721153846153847
8592,Greg Stiemsma,18.31,9.7,0.5,1.0,1.5,-2.3,0.6,0.7,1.0,10.959090909090909
8593,Julyan Stone,5.71,6.6,0.0,0.1,0.2,-3.5,-3.0,0.0,2.0,2.7738095238095237
8594,Rodney Stuckey,26.71,14.0,1.8,0.4,2.2,-1.2,-4.1,-1.0,7.0,20.431506849315067
8595,Jared Sullinger,27.58,16.4,1.9,2.0,3.9,0.3,-0.3,0.9,2.0,25.875
8596,Jeffery Taylor,24.19,5.9,-0.8,0.6,-0.2,-4.2,-5.4,-0.5,2.0,12.451923076923077
8597,Tyshawn Taylor,11.74,5.4,-0.7,0.2,-0.6,-7.0,-9.7,-0.5,2.0,6.760869565217392
8598,Jeff Teague,32.18,17.1,3.3,1.9,5.2,0.9,-1.1,0.6,5.0,30.67721518987342
8599,Marquis Teague,11.08,3.8,-1.0,0.4,-0.5,-7.6,-8.8,-0.8,2.0,5.60625
8600,Mirza Teletovic,19.39,14.3,1.6,1.1,2.7,1.5,-0.5,0.5,2.0,16.23611111111111
8601,Garrett Temple,8.51,7.8,-0.5,0.9,0.3,-4.6,-3.7,-0.3,4.0,5.03
8602,Jason Terry,16.29,7.4,0.0,0.2,0.2,-1.4,-4.2,-0.3,15.0,8.92142857142857
8603,Adonis Thomas,6.17,7.3,0.0,0.0,0.0,-4.0,-9.7,-0.1,1.0,3.5833333333333335
8604,Isaiah Thomas,34.68,20.5,6.4,1.3,7.7,5.0,2.9,3.1,3.0,35.46180555555556
8605,Malcolm Thomas,7.88,4.6,-0.2,0.1,-0.2,-10.4,-12.0,-0.2,1.0,4.0625
8606,Hollis Thompson,22.62,9.5,1.4,0.6,2.0,-1.8,-3.0,-0.4,1.0,12.561688311688311
8607,Klay Thompson,35.41,14.3,3.5,3.2,6.7,1.3,0.7,1.9,3.0,29.04320987654321
8608,Tristan Thompson,31.63,14.9,3.4,2.3,5.7,-1.5,-2.0,0.0,3.0,23.524390243902438
8609,Marcus Thornton,24.18,12.0,1.0,1.0,2.0,0.1,-1.6,0.2,5.0,17.02777777777778
8610,Anthony Tolliver,20.28,11.0,1.9,1.3,3.2,0.8,0.3,0.8,6.0,12.296875
8611,P.J. Tucker,30.74,13.3,3.3,2.8,6.1,0.7,2.3,2.7,2.0,22.33641975308642
8612,Hedo Turkoglu,10.32,11.3,0.1,0.7,0.8,-1.9,0.2,0.2,14.0,8.467105263157896
8613,Evan Turner,30.33,12.4,-0.5,1.8,1.4,-2.4,-3.7,-1.0,4.0,24.22530864197531
8614,Beno Udrih,15.68,12.7,0.5,0.3,0.8,-1.4,-3.4,-0.2,10.0,11.189024390243903
8615,Jonas Valanciunas,28.17,16.1,3.5,3.2,6.7,-1.6,-1.4,0.3,1.0,22.549382716049383
8616,Anderson Varejao,27.69,17.0,2.7,2.7,5.4,-0.4,2.7,2.1,10.0,24.25769230769231
8617,Greivis Vasquez,22.52,14.1,2.4,1.2,3.6,1.2,-1.4,0.3,4.0,18.496835443037973
8618,Charlie Villanueva,9.0,12.7,0.0,0.1,0.1,-1.2,-5.2,-0.1,9.0,8.025
8619,Dwyane Wade,32.87,22.0,3.5,2.0,5.5,1.9,2.3,1.9,11.0,32.06018518518518
8620,Dion Waiters,29.6,14.0,0.3,1.3,1.6,-0.2,-2.1,0.0,2.0,24.40714285714286
8621,Kemba Walker,35.81,16.8,1.8,3.3,5.1,1.6,1.7,2.4,3.0,34.62671232876713
8622,John Wall,36.34,19.5,4.0,4.0,7.9,2.4,2.6,3.4,4.0,39.89329268292683
8623,Gerald Wallace,24.41,10.0,-0.3,1.6,1.3,-2.5,-0.3,0.6,13.0,13.78448275862069
8624,Casper Ware,12.89,13.0,0.1,0.1,0.2,-1.1,-3.6,0.0,1.0,10.36111111111111
8625,C.J. Watson,18.94,13.0,1.1,2.1,3.2,-0.3,0.5,0.7,7.0,13.154761904761905
8626,Earl Watson,6.71,2.1,-0.2,0.1,-0.1,-5.1,-5.6,-0.1,13.0,2.6041666666666665
8627,Martell Webster,27.65,11.5,3.3,1.7,5.0,1.0,-0.1,1.0,8.0,17.487179487179485
8628,David West,30.9,17.5,3.1,5.0,8.1,-0.6,2.0,2.5,11.0,27.546875
8629,Russell Westbrook,30.7,24.7,3.0,2.3,5.2,5.2,6.4,3.0,6.0,40.94021739130435
8630,Deron Williams,32.17,17.6,3.8,1.5,5.4,2.7,1.2,1.6,9.0,29.35546875
8631,Derrick Williams,23.33,11.5,1.3,1.3,2.6,-2.1,-2.6,-0.3,3.0,14.823717948717949
8632,Elliot Williams,17.27,8.7,0.0,0.3,0.3,-3.2,-5.7,-1.1,2.0,10.32089552238806
8633,Lou Williams,24.08,14.2,1.6,1.0,2.6,0.3,-1.8,0.1,9.0,19.720833333333335
8634,Marvin Williams,25.36,14.0,1.9,1.0,2.9,0.5,0.2,0.9,9.0,19.553030303030305
8635,Mo Williams,24.78,11.8,1.0,1.2,2.2,-0.2,-2.0,0.0,11.0,19.05743243243243
8636,Shawne Williams,20.86,9.5,0.1,0.6,0.7,-1.9,-1.2,0.2,6.0,15.291666666666666
8637,Jeff Withey,11.79,15.2,1.2,0.6,1.8,-1.4,0.3,0.4,1.0,8.995689655172415
8638,Nate Wolters,22.57,12.7,0.9,0.2,1.2,-1.4,-3.4,-0.5,1.0,15.693965517241379
8639,Metta World,13.38,11.7,-0.2,0.4,0.3,-1.9,-2.1,0.0,15.0,10.086206896551724
8640,Chris Wright,15.75,16.5,0.2,0.1,0.3,-0.4,-0.2,0.1,1.0,11.78125
8641,Dorell Wright,14.47,11.9,0.9,1.0,1.9,-0.1,-0.4,0.4,9.0,11.047794117647058
8642,Tony Wroten,24.51,12.9,-1.8,0.9,-0.9,-2.3,-4.6,-1.2,2.0,20.586805555555557
8643,Nick Young,28.28,16.0,2.3,0.3,2.5,1.7,-1.9,0.0,7.0,26.09375
8644,Thaddeus Young,34.41,16.6,1.2,2.3,3.5,0.2,-0.2,1.2,7.0,32.392405063291136
8645,Cody Zeller,17.27,13.1,0.4,2.2,2.6,-3.2,-1.3,0.2,1.0,13.25
8646,Tyler Zeller,14.99,15.4,1.5,1.1,2.6,-1.9,-1.7,0.1,2.0,11.514285714285714
8647,Quincy Acy,18.93,11.9,1.0,0.7,1.7,-2.3,-3.1,-0.3,3.0,12.863970588235293
8648,Jordan Adams,8.27,12.8,0.0,0.4,0.4,-1.8,-0.6,0.1,1.0,6.425
8649,Steven Adams,25.3,14.1,1.9,2.2,4.1,-1.4,0.4,1.1,1.0,18.65
8650,Arron Afflalo,32.08,10.7,1.6,1.0,2.6,-0.5,-1.8,0.1,8.0,20.509615384615383
8651,Furkan Aldemir,13.17,12.0,0.7,0.7,1.4,-2.7,-0.7,0.2,1.0,8.902439024390244
8652,LaMarcus Aldridge,35.38,22.8,4.9,3.7,8.6,0.3,0.3,1.4,9.0,40.38028169014085
8653,Tony Allen,26.16,14.6,0.9,3.2,4.1,-0.4,3.3,2.2,11.0,19.567460317460316
8654,Al-Farouq Aminu,18.46,14.4,1.2,2.0,3.3,-0.5,2.4,1.5,5.0,15.466216216216216
8655,Lou Amundson,17.68,11.8,-0.6,0.9,0.3,-4.0,-2.0,0.0,3.0,13.452830188679245
8656,Chris Andersen,18.87,16.1,2.1,1.5,3.6,-1.2,1.0,0.9,10.0,14.258333333333333
8657,Alan Anderson,23.57,10.6,1.7,1.1,2.7,0.0,-0.5,0.6,6.0,13.996621621621621
8658,Kyle Anderson,10.85,8.2,-0.3,0.6,0.3,-5.2,-2.7,-0.1,1.0,7.0227272727272725
8659,Ryan Anderson,27.46,15.6,2.6,0.9,3.5,2.0,-1.1,0.4,7.0,23.327868852459016
8660,Giannis Antetokounmpo,31.37,14.8,2.2,4.0,6.2,-1.7,0.5,1.6,2.0,25.876543209876544
8661,Carmelo Anthony,35.7,21.5,2.2,0.6,2.9,3.5,1.4,1.2,12.0,38.6625
8662,Pero Antic,16.46,9.5,0.5,1.0,1.5,-1.3,-2.7,-0.2,2.0,11.027777777777779
8663,Trevor Ariza,35.73,12.7,2.7,3.9,6.6,0.6,1.9,2.9,11.0,27.728658536585368
8664,Darrell Arthur,17.03,11.5,-0.1,0.9,0.9,-1.8,-1.1,0.2,6.0,13.693965517241379
8665,D.J. Augustin,23.95,13.9,2.5,0.9,3.4,0.2,-2.5,-0.3,7.0,18.728658536585368
8666,Luke Babbitt,13.17,11.1,1.1,0.5,1.6,0.0,-1.4,0.1,5.0,7.857142857142857
8667,Leandro Barbosa,14.88,15.3,1.6,1.2,2.8,0.4,-0.8,0.3,12.0,12.469696969696969
8668,J.J. Barea,17.69,15.1,2.1,0.6,2.7,1.0,-1.5,0.2,9.0,15.155844155844155
8669,Andrea Bargnani,27.07,16.6,0.8,0.2,0.9,-1.0,-3.7,-0.3,9.0,23.482758620689655
8670,Harrison Barnes,28.27,13.4,3.7,3.0,6.7,0.5,1.1,1.8,3.0,20.28048780487805
8671,Matt Barnes,29.88,11.3,2.2,2.1,4.3,0.9,1.6,2.1,12.0,20.49013157894737
8672,Earl Barron,8.94,5.0,-0.1,0.1,0.0,-5.0,-5.9,-0.1,3.0,4.71875
8673,Will Barton,16.95,13.6,0.2,1.1,1.3,-1.7,-0.6,0.3,3.0,13.85344827586207
8674,Brandon Bass,23.52,16.3,3.4,1.9,5.3,-0.4,-0.5,0.7,7.0,18.8140243902439
8675,Nicolas Batum,33.52,13.1,2.0,3.2,5.2,0.6,3.1,3.1,7.0,25.704225352112676
8676,Jerryd Bayless,22.3,11.1,0.3,2.0,2.4,-2.3,-2.6,-0.3,7.0,15.87012987012987
8677,Aron Baynes,16.03,15.9,2.3,1.6,3.9,-0.7,-1.0,0.3,2.0,12.42142857142857
8678,Kent Bazemore,17.65,9.7,-0.4,1.9,1.6,-3.1,-1.8,0.1,3.0,11.733333333333333
8679,Bradley Beal,33.44,14.0,1.3,2.4,3.7,0.5,0.5,1.3,3.0,26.833333333333332
8680,Michael Beasley,21.04,10.6,-0.6,0.5,-0.1,-4.3,-4.7,-0.3,7.0,15.75
8681,Marco Belinelli,22.39,12.4,1.5,1.4,2.9,0.6,-0.5,0.5,8.0,15.745967741935484
8682,Anthony Bennett,15.68,11.4,-0.1,0.4,0.3,-3.6,-4.8,-0.6,2.0,11.43421052631579
8683,Patrick Beverley,30.84,11.3,1.7,1.8,3.5,0.5,0.8,1.2,3.0,23.245535714285715
8684,Tarik Black,18.98,14.7,2.2,0.9,3.1,-1.0,-1.6,0.1,1.0,13.384920634920634
8685,Steve Blake,18.88,9.5,0.7,1.4,2.1,-1.2,-2.1,0.0,12.0,11.858024691358025
8686,Eric Bledsoe,34.57,18.4,4.1,2.9,7.0,1.7,2.6,3.3,5.0,34.27160493827161
8687,Vander Blue,37.0,4.0,-0.3,0.0,-0.2,-6.0,-8.5,-0.1,2.0,21.125
8688,Bojan Bogdanovic,23.77,11.6,1.7,0.7,2.4,0.0,-1.8,0.1,1.0,14.432692307692308
8689,Matt Bonner,12.99,10.1,1.3,0.9,2.1,-0.2,-0.9,0.3,11.0,7.552083333333333
8690,Trevor Booker,19.8,15.3,1.7,1.9,3.6,-0.6,0.2,0.9,5.0,15.126582278481013
8691,Chris Bosh,35.36,19.8,2.1,1.5,3.6,1.0,-0.1,0.8,12.0,34.60795454545455
8692,Avery Bradley,31.53,11.5,0.4,2.1,2.5,-0.8,-1.7,0.2,5.0,22.626623376623378
8693,Elton Brand,13.5,9.4,-0.1,0.8,0.7,-4.5,-1.4,0.1,13.0,8.465277777777779
8694,Corey Brewer,26.09,13.9,1.0,2.1,3.1,-0.8,-1.1,0.5,8.0,21.45
8695,Aaron Brooks,22.99,14.4,1.7,1.5,3.3,1.0,-1.4,0.3,7.0,19.771341463414632
8696,Jabari Brown,29.89,11.0,0.4,0.0,0.4,-0.8,-3.8,-0.3,1.0,18.38157894736842
8697,Lorenzo Brown,18.93,11.0,0.1,0.2,0.3,-1.9,-2.6,-0.1,2.0,12.887931034482758
8698,Markel Brown,16.62,9.1,-0.2,0.7,0.5,-3.0,-2.7,-0.1,1.0,10.26595744680851
8699,Shannon Brown,17.8,4.4,-0.1,0.0,0.0,-4.2,-6.1,-0.1,9.0,6.65
8700,Kobe Bryant,34.49,17.6,-0.4,0.6,0.2,1.6,0.3,0.7,19.0,38.50714285714286
8701,Chase Budinger,19.19,12.2,1.1,0.2,1.3,-0.9,-2.8,-0.3,6.0,13.246268656716419
8702,Reggie Bullock,9.39,6.2,-0.2,0.3,0.1,-3.6,-4.0,-0.2,2.0,4.715277777777778
8703,Trey Burke,30.11,12.6,0.8,1.6,2.4,0.0,-1.9,0.1,2.0,24.17763157894737
8704,Alec Burks,33.3,13.0,1.1,0.6,1.7,-0.4,-1.6,0.1,4.0,24.13888888888889
