,Player,MPG,PER,VORP,BPM,OBPM,WS,OWS,DWS
294,Jon Leuer,17.0,8.9,-0.1,-6.495561715416726,-6.059044129802481,0.1,0.0,0.1
295,Caris LeVert,26.253521126760564,14.3,0.7,-1.9329249350334299,-1.017001019285324,2.3,0.7,1.5999999999999999
296,DeAndre Liggins,12.482758620689655,6.0,0.0,-4.021770786755663,-3.9245249336790606,0.5,-0.2,0.7
297,Damian Lillard,36.57534246575342,25.2,5.9,4.83671721415115,7.866299097611598,12.6,9.9,2.6999999999999993
298,Jeremy Lin,25.0,15.9,-0.1,-16.115775469896708,-4.295765005095786,0.0,0.0,0.0
299,Shaun Livingston,15.901408450704226,11.6,-0.4,-5.059613239837648,-3.424202769384056,1.8,0.9,0.9
300,Kevon Looney,13.787878787878787,14.8,0.7,-0.717900623779659,-2.397741135472418,2.8,1.5,1.2999999999999998
301,Brook Lopez,23.445945945945947,16.4,1.1,-0.8306805956172272,-0.8795549339294699,3.8,1.9,1.9
302,Robin Lopez,26.40625,14.7,0.0,-3.0887498777035027,-3.0930055670513275,1.9,1.2,0.7
303,Kevin Love,27.983050847457626,22.4,1.4,-0.07850241724777263,2.8528542033655926,6.4,4.7,1.7000000000000002
304,Kyle Lowry,32.17948717948718,19.5,5.0,4.955808775807832,4.430940377504425,10.2,7.0,3.1999999999999993
305,Timothe Luwawu-Cabarrot,15.51923076923077,7.0,-0.5,-5.54304114296755,-4.177368776944824,0.8,0.1,0.7000000000000001
306,Tyler Lydon,2.0,0.0,0.0,-8.505451734761504,-5.958062222148166,0.0,0.0,0.0
307,Trey Lyles,19.054794520547944,17.9,0.4,-2.710828333392805,0.7700578161793538,3.9,2.7,1.1999999999999997
308,Shelvin Mack,19.782608695652176,13.3,-0.1,-4.036806457778869,-2.1968286335288947,2.0,1.0,1.0
309,Josh Magette,12.0,11.9,-0.2,-7.7162487925437695,-3.4609192709229455,0.4,0.3,0.10000000000000003
310,Ian Mahinmi,14.87012987012987,12.2,0.4,-1.7530700498157255,-2.721088170459908,2.2,0.8,1.4000000000000001
311,Thon Maker,16.72972972972973,10.2,-0.2,-4.4817978507315885,-4.172361053583674,1.5,0.3,1.2
312,Boban Marjanovic,8.64102564102564,26.0,0.1,-2.950831423470181,-2.527868757746384,1.5,1.0,0.5
313,Lauri Markkanen,29.705882352941178,15.6,0.1,-5.08354322436292,-2.834897848871067,3.3,1.7,1.5999999999999999
314,Jarell Martin,22.753424657534246,10.5,-0.4,-3.184833250538312,-4.9748917309302945,1.3,0.1,1.2
315,Frank Mason,18.923076923076923,13.0,-0.4,-4.235765238467936,-3.4497629583370655,0.5,0.0,0.5
316,Mangok Mathiang,5.0,18.0,0.0,-11.923562545173613,-7.366083745521306,0.1,0.0,0.1
317,Wesley Matthews,33.82539682539682,11.4,1.1,-1.64059956167058,-1.874024367116973,2.6,1.0,1.6
318,Luc Mbah a Moute,25.639344262295083,10.2,0.8,-1.9438822264525626,-3.0546803400145777,2.8,0.7,2.0999999999999996
319,James Michael McAdoo,6.0,7.4,0.0,-10.380817619155538,-5.3566121107505245,0.0,0.0,0.0
320,Patrick McCaw,16.859649122807017,7.4,-0.3,-4.600862934652704,-2.7834217944313875,0.6,-0.3,0.8999999999999999
321,CJ McCollum,36.08641975308642,17.0,1.8,-0.5722903609795353,-0.4414875782703205,6.6,3.7,2.8999999999999995
